"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q1,Q2";"SOT-23_BC847B_Handsoldering";2;"BC847B";;;
2;"C1,C4,C5,C6,C7,C8,C13,C14,C25";"C_0805";9;"100nF";;;
3;"C2,C3";"C_0805";2;"18pF";;;
4;"D1";"MiniMELF_Handsoldering";1;"1N4148";;;
5;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-AU";;;
6;"R3,R4,R11,R12,R13";"R_0805_HandSoldering";5;"10K";;;
7;"R5,R6,R7,R8,R9,R10";"R_0805_HandSoldering";6;"47R";;;
10;"U2";"ESP-12E_-1_-22";1;"ESP-12E";;;
12;"C9,C10";"C_0805";2;"10uF";;;
13;"C11,C12";"C_0603";2;"33nF";;;
14;"JACK1";"4P_RPi_AV_jack";1;"FC68125";;;
19;"R1,R2";"R_0603";2;"150R";;;
20;"R14,R15";"R_0603";2;"270R";;;
21;"W3";"TerminalBlock_Pheonix_PT-3.5mm_2pol";1;"MIC";;;
22;"X1";"Crystal_HC49_CSTCE";1;"CRYSTAL_TH_SMD";;;
23;"U1";"pi0outline";1;"Pi Zero";;;
24;"U3";"keypad_overlay";1;"KEYPAD_OVERLAY";;;
25;"C16,C17,C18,C19,C20,C21";"C_0603";6;"33pF";;;
26;"C22,C23,C24";"C_0603";3;"10pF";;;
27;"C15";"CP_Tantalum_Case-B_EIA-3528-21_Hand";1;"10uF";;;
28;"R16";"R_0805";1;"1R";;;
